FRASE,LIBRO,AUTOR
"de la personalidad iracunda puede verse en el 
clásico coleccionista de injusticias que alimenta agravios y, por 
extensión paranoica, los recolecta para justificar su hostilidad. 
Es",Trascendiendo los niveles de consciencia,David Hawkins
" no existe el “resentimiento justificado”. Al ego 
también le gusta citar interpretaciones falsas y erróneas de la his- 
toria para justificar su extremismo.",Trascendiendo los niveles de consciencia,David Hawkins
"La ira nio guarda relacion con lo que los otros SON, sino con lo que NO SON.",Trascendiendo los niveles de consciencia,David Hawkins
"Como “el orgullo precede a la caída”, es vulnerable y mantiene 
una actitud defensiva ",Trascendiendo los niveles de consciencia,David Hawkins
" El orgullo sigue siendo débil porque puede ser arrojado de su pedestal para caer en la vergüenza, y 
esta es la amenaza que activa el temor a perderlo.",Trascendiendo los niveles de consciencia,David Hawkins
"ad. La inflación del ego a la que da 
lugar el orgullo es el núcleo de su vulnerabilidad, en",Trascendiendo los niveles de consciencia,David Hawkins
"ás. La autoestima del orgullo descansa sobre una opinión 
exagerada e inflada, más que sobre la realidad. Así, el ego busca 
confirmación, que descansa sobre las inseguras premisas de la 
opinión.",Trascendiendo los niveles de consciencia,David Hawkins
". La vanidad genera sensibilidad a los menosprecios y las 
comparaciones, lo que conduce al miedo a ser atacado y a la para- 
noia social,",Trascendiendo los niveles de consciencia,David Hawkins
"a la 
opinión como función del ego, se revela que no es más que una 
idea a la que se le ha añadido importancia porque es “mía”. U",Trascendiendo los niveles de consciencia,David Hawkins
"El ego 
malinterpreta la humildad como un equivalente de la humillación, 
cuando en realidad es la mayor salvaguarda contra la humillación o 
la vulnerabilidad. ",Trascendiendo los niveles de consciencia,David Hawkins
" un conjunto de expectativas rígido da 
como resultado una autoestima frágil. L",Trascendiendo los niveles de consciencia,David Hawkins
"La aceptación de uno mismo es el resultado de renunciar a la duda. Todo lo que 
existe es intrínsecamente igual por virtud de su creación y de la fuente de dicha creación. ",Trascendiendo los niveles de consciencia,David Hawkins
" Todo el mérito por los logros se lo atribuimos a Dios como 
Presencia interna de la Divinidad, en vez de al ego, y así los logros 
generan gratitud y alegría, en lugar de orgullo vulnerable.",Trascendiendo los niveles de consciencia,David Hawkins
" Cuanto menos “deseos” prevalecen, mayor es 
nuestro grado de libertad. ",Trascendiendo los niveles de consciencia,David Hawkins
"“Yo, por mí mismo, en realidad no sé nada” ",Trascendiendo los niveles de consciencia,David Hawkins
" A medida que evolucionamos, podemos 
considerar que lo que el mundo admira es un estorbo, y lo que el 
mundo considera una pérdida es libertad espiritual. La paz interna 
es el resultado de entregar tanto las atracciones como las aver- 
siones.",Trascendiendo los niveles de consciencia,David Hawkins
"El coraje implica estar dispuesto a probar cosas nuevas y a afron- 
tar las vicisitudes de la vida. ",Trascendiendo los niveles de consciencia,David Hawkins
"os. El 
nivel del coraje implica superar el miedo a perder las ganancias, 
que es reemplazado por las recompensas a largo plazo de la ver- 
dad.",Trascendiendo los niveles de consciencia,David Hawkins
"ía las decisiones y la elección de opciones. 
El coraje aporta confianza interna y una mayor sensación de 
poder personal porque no depende de factores o resultados externos. E",Trascendiendo los niveles de consciencia,David Hawkins
"La clave esencial para acceder a la fuerza del coraje es aceptar la 
responsabilidad personal y la rendición de cuentas. ",Trascendiendo los niveles de consciencia,David Hawkins
"Coraje no significa ausencia de miedo, sino estar dispuesto a supe- 
rarlo, lo que, una vez conseguido, revela nuestra fuerza y fortaleza",Trascendiendo los niveles de consciencia,David Hawkins
". El miedo al fracaso disminuye cuando nos damos cuenta 
de que somos responsables de la intención y el esfuerzo, pero no 
del resultado, que depende de muchas otras condiciones y factores 
externos.",Trascendiendo los niveles de consciencia,David Hawkins
"una posición rígida se convierte en un punto de vulnerabilidad: lo que no se dobla 
puede romperse. ",Trascendiendo los niveles de consciencia,David Hawkins
"los aparentes obstáculos en realidad pueden ser 
expectativas proyectadas. ",Trascendiendo los niveles de consciencia,David Hawkins
"La libertad es producto de no invertir emocio- 
nalmente en el resultado y de no insistir en los objetivos narci- 
sistas, como el de “hacer las cosas a mi manera”. ",Trascendiendo los niveles de consciencia,David Hawkins
"estar interesado pero 
no involucrado emocionalmente, lo que permite una actitud rela- 
jada y agradable, porque en realidad uno no se está “jugando",Trascendiendo los niveles de consciencia,David Hawkins
"Como uno no se juega nada, no tiene miedo a perder ni sufre la 
inflación del ego cuando parece ganar.",Trascendiendo los niveles de consciencia,David Hawkins
Acepto mi humanidad,,Javi Rodriguez
Los ciclos se reciclan por si solos.,Conversaciones con DIOS,
"Tu vives tu ilusion y por lo tanto sientes miedo, por tu decisión de dudar de DIOS",Conversaciones con DIOS,
"Si no puedes contar con que el amor de Dios siempre estará alli, ¿en el amor de quién si puedes contar?",Conversaciones con DIOS,
Toda acción se vuelve una reacción,Conversaciones con DIOS,
Tus padres fueron los que te enseñaron que el amor es condicional y esa es la experiencia que llevas a tus propias relaciones,Conversaciones con DIOS,
"Cuando elijas la acción que promueve el amor, será entonces cuando hagas más que sobrevivir, harás  mas que ganar y que tener éxito. Experimentarás la gloria de quien eres.",Conversaciones con DIOS,
"El mejor recordatorio no es nada en el exterior, sino tu voz dentro de ti. Esta es la herramienta más accequible.",Conversaciones con DIOS,
"El secreto más profundo no es que la vida es un proceso de descubrimiento, sino un proceso de creación",Conversaciones con DIOS,
Por qué estamos aqui: para recordar y recreaer quien eres.,Conversaciones con DIOS,
El único deseo de tu alma es converitr su más grande concepto de s misma en su más grandes experiencia,Conversaciones con DIOS,
"Quienes creen que dios es Todo lo que es y todo lo que NO es, son los que comprender correctamente",Conversaciones con DIOS,
"Mi proposito divino al dividirme, fue crear suficientes partes de  mi para que yo pudiera conocerme empiricamente. Solo hay una forma en el que el creador se puede conocer a si mismo y es creando.",Conversaciones con DIOS,
"Mi propoposito para ustedes es que se conozcan a su mismo como YO y para ello, se conozcan a si mismos promero como no YO.",Conversaciones con DIOS,
Re membranza: recordar es unir todas las partes de quien eres.,Conversaciones con DIOS,
"Dios padre es saber: Dios hijo es experimentar, Dios espiritu santo es SER. ",Conversaciones con DIOS,
"Trinidad significa: Lo que da la vida, lo que la recibe, lo que es.",Conversaciones con DIOS,
No hay victimas en el universo solo creadores,Conversaciones con DIOS,
"Evita etiquetas y juicios mientras haces lo que sea que hagas, pues cada circustancia es un regalo y en cada experiencia se encuentra un regalo escondido",Conversaciones con DIOS,
No olvides quiene eres en el momento en que te encuentras rodeados por lo que no eres.,Conversaciones con DIOS,
"Solo cuando dices: Yo hice esto, puedes encontrar el poder para cambiarlo",Conversaciones con DIOS,
"Todas las cosas ""malas"" que te suceden son elección tuya. El error no es elegirlas sino llamarlas malas",Conversaciones con DIOS,
El dolor es el resultado de un pensamiento equivocado,Conversaciones con DIOS,
"El dolor resulta de un juicio que has hecho sobre algo, elimina el juicio y eliminarás el dolor.",Conversaciones con DIOS,
"Lo que condenes, te condenara y en lo que juzgues te convertirás.",Conversaciones con DIOS,
Permite que cada alma camine su propio trayecto,Conversaciones con DIOS,
No haré nada por ustedes que no hagan por si mismos.N,Conversaciones con DIOS,
"No es através de la lucha que el proceso continua, es al rendirse que uno obtiene vicotria.",Conversaciones con DIOS,
"Cada evento y aventura es atraida hacia tu ser, por tu ser, para que puedas crear y experimentar quien realmente eres",Conversaciones con DIOS,
"Puedes ser, hacer y tener lo que puedas imaginar. Pero al tiempo puedes atraer a lo que temes.",Conversaciones con DIOS,
Una emoción es el poder que atrae,Conversaciones con DIOS,
"Un pensamiento es pura energía, los pensamientos son eternos. El pensamiento es creativo",Conversaciones con DIOS,
